,S_No,user_id,username,tweet,unix_time,title,year,rating
235,761336,38195794,bigeamo,I rated Byzantium 7/10 ,1390018376,,,
236,761337,76457273,DOPreston,I rated 12 Years a Slave 10/10 ,1390018363,,,
237,761338,455928115,NBorkamo,I rated Just Like Heaven 7/10 ,1390018357,,,
238,761339,455928115,NBorkamo,I rated Blindness 4/10 ,1390018323,,,
239,761340,314449627,stephenjcleary,I rated Byzantium 6/10 ,1390018306,,,
240,761341,455928115,NBorkamo,I rated Date Night 7/10 ,1390018273,,,
241,761342,237025576,jack_hogg,I rated Devil's Due 6/10 ,1390018260,,,
242,761343,420611831,jordicurtoduart,I rated Her 7/10 ,1390018228,,,
243,761344,549326216,MaisGarah,I rated Escape Plan 10/10 ,1390018225,,,
244,761345,231219193,immarrto,I rated The Wolf of Wall Street 9/10 ,1390018218,,,
245,761346,366327188,NSaihati,I rated About Time 8/10 ,1390018183,,,
246,761347,92223121,btree019,I rated The Reef 4/10 ,1390018175,,,
247,761348,455928115,NBorkamo,I rated Shutter Island 9/10 ,1390018148,,,
248,761349,946663158,RossWebber1,I rated The Wolf of Wall Street 9/10 ,1390018130,,,
249,761350,43349934,HYPHYHUNTLEY,I rated Jiro Dreams of Sushi 8/10 ,1390018101,,,
250,761351,225128003,spiritfox10,I rated Before Your Eyes 7/10 ,1390018074,,,
251,761352,629182778,vhugolimachi,I rated Enron: The Smartest Guys in the Room 6/10 ,1390018043,,,
252,761353,40517404,mattbushby,I rated Safe 5/10 ,1390017997,,,
253,761354,40517404,mattbushby,I rated Hummingbird 5/10 ,1390017946,,,
254,761355,40517404,mattbushby,"I rated Good Morning, Vietnam 8/10 ",1390017899,,,
255,761356,52100770,IntiRock,I rated #ManofSteel 5/10 ,1390017729,,,
256,761357,73216597,abuzaind,I rated The Man Who Fell to Earth 4/10 ,1390017579,,,
257,761358,253803673,tanmanswanson,I rated The Goonies 6/10 ,1390017551,,,
258,761359,1101725168,im_mortal0,I rated Friends 9.5/10 ,1390017538,,,
259,761360,363853315,crumblycheddar,I rated Closer 7/10 ,1390017336,,,
260,761361,303212670,palmoselite123,I rated The Firm 8/10 ,1390017242,,,
261,761362,539141285,StigLykkenNygrd,I rated Modig 8/10 ,1390017215,,,
262,761363,539141285,StigLykkenNygrd,I rated Star Trek 9/10 ,1390017131,,,
263,761364,20305089,bronzefish,I rated Red 2 10/10 ,1390017091,,,
264,761365,214869524,Bahauldin,I rated Kick-Ass 8/10 ,1390017086,,,
265,761366,90504814,elcinzorlu,I rated Dark Shadows 5/10 ,1390016849,,,
266,761367,1087391612,gumuselmehmet,I rated Rush 10/10 ,1390016787,,,
267,761368,218421674,ubze,I rated Captain Phillips 8/10 ,1390016345,,,
268,761369,255953908,FrancisSaman,I rated The Wolf of Wall Street 7/10 ,1390016275,,,
269,761370,28090179,AndyTrav,I rated Saving Mr. Banks 7/10 ,1390016147,,,
270,761371,27680464,Fahadlaj,I rated Captain Phillips 8/10 ,1390016142,,,
271,761372,395680865,kristianmeller,I rated Dead Man Down 7/10 ,1390015925,,,
272,761373,15633447,slanemyr,I rated Mud 6/10 ,1390015832,,,
273,761374,103903562,slow_job,I rated The Broken Circle Breakdown 7/10 ,1390015824,,,
274,761375,432580324,GaryPennPremier,I rated The Game 4/10 ,1390015526,,,
275,761376,235648682,fieldofnic,I rated The Necessary Death of Charlie Countryman 6/10 ,1390015526,,,
276,761377,180062344,Jenna_RFC,I rated Just Married 5/10 ,1390015506,,,
277,761378,499160527,mobydick1978,I rated Il sospetto 9/10 ,1390015334,,,
278,761379,29176131,oldino,I rated Il sospetto 8/10 ,1390015283,,,
279,761380,122230040,maouna,I rated The Past 7/10  http://t.co/FQmr3EmMpm,1390015011,,,
280,761381,75625659,brhmzdmr,I rated Rush 7/10 ,1390014956,,,
281,761382,83811471,aonadventures,I rated Matilda 1/10 ,1390014828,,,
282,761383,340078301,gMoniqueW,I rated Bitten 8/10 ,1390014794,,,
283,761384,45596090,meSo30180,I rated Saving Mr. Banks 8/10 ,1390014533,,,
284,761385,271154584,OrcunKavruk,I rated Paranormal Activity: The Marked Ones 6/10 ,1390014498,,,
285,761386,467226939,Dhmee01,I rated Captain Abu Raed 9/10 ,1390014492,,,
286,761387,128378425,alby_esse,I rated Il capitale umano 10/10 ,1390014483,,,
287,761388,273089431,Ewoudvalk,I rated #JackRyanShadowRecruit 5/10 ,1390014385,,,
288,761389,22405639,johngalilee,I rated American Hustle 7/10 ,1390014337,,,
289,761390,1918131096,miakobymegan,I rated The Wolf of Wall Street 10/10 ,1390014252,,,
290,761391,84389890,maxwellhubbard,I rated Devil's Due 2/10 ,1390013935,,,
291,761392,69582194,oguzcankorkmaz,I rated American Hustle 10/10 ,1390013842,,,
292,761393,356672183,aak112,I rated Shakespeare in Love 8/10 ,1390013722,,,
293,761394,38820841,gaz2801,I rated Despicable Me 7/10 ,1390013350,,,
294,761395,809829366,PhoenixBlackOps,I rated Thanks for Sharing 6/10 ,1390013205,,,
295,761396,49910729,kingbenny81,I rated Volti 7/10 ,1390013202,,,
296,761397,572817355,AK_Alsaikhan,I rated The Departed 10/10 ,1390013149,,,
297,761398,17588399,matiknez,I rated Fire with Fire 3/10 ,1390012808,,,
298,761399,255603048,juanito_fi,I rated Il capitale umano 9/10 ,1390012732,,,
299,761400,1260028543,ArekKlama,I rated Pod Mocnym Aniolem 9/10 ,1390012692,,,
300,761401,540093836,xgergox,I rated Itt a vége 1/10 ,1390012528,,,
301,761402,15502389,tbechmannfrost,I rated Hansel &amp; Gretel: Witch Hunters 3/10 ,1390012397,,,
